7.0262 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
15.0237 	EXP 	show_condition_text: autoDraw = True
15.0242 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'deaths')])
15.0401 	EXP 	show_condition_text: text = 'deaths'
15.0401 	EXP 	show_condition_text: autoDraw = True
15.0407 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'measures')])
15.0707 	EXP 	show_condition_text: text = 'measures'
15.0707 	EXP 	show_condition_text: autoDraw = True
15.0866 	EXP 	show_condition_text: text = '****'
15.0866 	EXP 	show_condition_text: autoDraw = True
15.5061 	DATA 	Keypress: space
15.7042 	EXP 	show_condition_text: autoDraw = False
15.7047 	EXP 	New trial (rep=0, index=6): OrderedDict([('wlist_index', 27)])
15.7079 	EXP 	Imported csvs/27.csv as conditions, 8 conditions, 1 params
15.7082 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
15.7084 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'unable')])
15.7233 	EXP 	show_condition_text: text = 'unable'
15.7233 	EXP 	show_condition_text: autoDraw = True
15.7238 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'douglas')])
15.7410 	EXP 	show_condition_text: text = 'douglas'
15.7410 	EXP 	show_condition_text: autoDraw = True
15.7415 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'say')])
15.7571 	EXP 	show_condition_text: text = 'say'
15.7571 	EXP 	show_condition_text: autoDraw = True
15.7577 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'him')])
15.7744 	EXP 	show_condition_text: text = 'him'
15.7744 	EXP 	show_condition_text: autoDraw = True
15.7753 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'safari')])
15.8043 	EXP 	show_condition_text: text = 'safari'
15.8043 	EXP 	show_condition_text: autoDraw = True
15.8049 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'buyers')])
15.8232 	EXP 	show_condition_text: text = 'buyers'
15.8232 	EXP 	show_condition_text: autoDraw = True
15.8239 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'ski')])
15.8391 	EXP 	show_condition_text: text = 'ski'
15.8391 	EXP 	show_condition_text: autoDraw = True
15.8397 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', 'oral')])
15.8561 	EXP 	show_condition_text: text = 'oral'
15.8561 	EXP 	show_condition_text: autoDraw = True
15.8713 	EXP 	show_condition_text: text = '****'
15.8713 	EXP 	show_condition_text: autoDraw = True
16.3577 	DATA 	Keypress: space
16.5373 	EXP 	show_condition_text: autoDraw = False
16.5378 	EXP 	New trial (rep=0, index=7): OrderedDict([('wlist_index', 31)])
16.5412 	EXP 	Imported csvs/31.csv as conditions, 8 conditions, 1 params
16.5415 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
16.5417 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'phenomenon')])
16.5699 	EXP 	show_condition_text: text = 'phenomenon'
16.5699 	EXP 	show_condition_text: autoDraw = True
16.5705 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'reverse')])
16.5877 	EXP 	show_condition_text: text = 'reverse'
16.5877 	EXP 	show_condition_text: autoDraw = True
16.5882 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'watson')])
16.6037 	EXP 	show_condition_text: text = 'watson'
16.6037 	EXP 	show_condition_text: autoDraw = True
16.6042 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'usd')])
16.6225 	EXP 	show_condition_text: text = 'usd'
16.6225 	EXP 	show_condition_text: autoDraw = True
16.6233 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'humanitarian')])
16.6418 	EXP 	show_condition_text: text = 'humanitarian'
16.6418 	EXP 	show_condition_text: autoDraw = True
16.6423 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'incest')])
16.6701 	EXP 	show_condition_text: text = 'incest'
16.6701 	EXP 	show_condition_text: autoDraw = True
16.6707 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'gi')])
16.6875 	EXP 	show_condition_text: text = 'gi'
16.6875 	EXP 	show_condition_text: autoDraw = True
16.6880 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', 'act')])
16.7037 	EXP 	show_condition_text: text = 'act'
16.7037 	EXP 	show_condition_text: autoDraw = True
16.7202 	EXP 	show_condition_text: text = '****'
16.7202 	EXP 	show_condition_text: autoDraw = True
17.1226 	DATA 	Keypress: space
17.3201 	EXP 	show_condition_text: autoDraw = False
17.3206 	EXP 	New trial (rep=0, index=1): OrderedDict([('condition', 3)])
17.3238 	EXP 	Imported csvs/condition_3_wlists_indices.csv as conditions, 8 conditions, 1 params
17.3241 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
17.3244 	EXP 	New trial (rep=0, index=0): OrderedDict([('wlist_index', 22)])
17.3281 	EXP 	Imported csvs/22.csv as conditions, 10 conditions, 1 params
17.3284 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
17.3286 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'away')])
17.3542 	EXP 	show_condition_text: text = 'away'
17.3542 	EXP 	show_condition_text: autoDraw = True
17.3549 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'rarely')])
17.3732 	EXP 	show_condition_text: text = 'rarely'
17.3732 	EXP 	show_condition_text: autoDraw = True
17.3742 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'sophisticated')])
17.4034 	EXP 	show_condition_text: text = 'sophisticated'
17.4034 	EXP 	show_condition_text: autoDraw = True
17.4042 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'gotten')])
17.4203 	EXP 	show_condition_text: text = 'gotten'
17.4203 	EXP 	show_condition_text: autoDraw = True
17.4209 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'athletics')])
17.4393 	EXP 	show_condition_text: text = 'athletics'
17.4393 	EXP 	show_condition_text: autoDraw = True
17.4399 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'secret')])
17.4578 	EXP 	show_condition_text: text = 'secret'
17.4578 	EXP 	show_condition_text: autoDraw = True
17.4584 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'marina')])
17.4749 	EXP 	show_condition_text: text = 'marina'
17.4749 	EXP 	show_condition_text: autoDraw = True
17.4755 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', 'detective')])
17.5036 	EXP 	show_condition_text: text = 'detective'
17.5036 	EXP 	show_condition_text: autoDraw = True
17.5043 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', 'missions')])
17.5205 	EXP 	show_condition_text: text = 'missions'
17.5205 	EXP 	show_condition_text: autoDraw = True
17.5210 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', 'es')])
17.5367 	EXP 	show_condition_text: text = 'es'
17.5367 	EXP 	show_condition_text: autoDraw = True
17.5533 	EXP 	show_condition_text: text = '****'
17.5533 	EXP 	show_condition_text: autoDraw = True
17.8235 	DATA 	Keypress: space
18.0374 	EXP 	show_condition_text: autoDraw = False
18.0378 	EXP 	New trial (rep=0, index=1): OrderedDict([('wlist_index', 28)])
18.0414 	EXP 	Imported csvs/28.csv as conditions, 6 conditions, 1 params
18.0417 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
18.0419 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'regardless')])
18.0709 	EXP 	show_condition_text: text = 'regardless'
18.0709 	EXP 	show_condition_text: autoDraw = True
18.0715 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'anthropology')])
18.0886 	EXP 	show_condition_text: text = 'anthropology'
18.0886 	EXP 	show_condition_text: autoDraw = True
18.0901 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'make')])
18.1071 	EXP 	show_condition_text: text = 'make'
18.1071 	EXP 	show_condition_text: autoDraw = True
18.1077 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'figure')])
18.1367 	EXP 	show_condition_text: text = 'figure'
18.1367 	EXP 	show_condition_text: autoDraw = True
18.1373 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'separately')])
18.1560 	EXP 	show_condition_text: text = 'separately'
18.1560 	EXP 	show_condition_text: autoDraw = True
18.1566 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'biography')])
18.1741 	EXP 	show_condition_text: text = 'biography'
18.1741 	EXP 	show_condition_text: autoDraw = True
18.1905 	EXP 	show_condition_text: text = '****'
18.1905 	EXP 	show_condition_text: autoDraw = True
18.4560 	DATA 	Keypress: space
18.6706 	EXP 	show_condition_text: autoDraw = False
18.6711 	EXP 	New trial (rep=0, index=2): OrderedDict([('wlist_index', 32)])
18.6744 	EXP 	Imported csvs/32.csv as conditions, 5 conditions, 1 params
