"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"212","danger",6,3.35,5,2,5,2,"Noun"
"213","dare",4,3.45,19,34,3,1,"Verb"
"214","dark",4,3.66,9,8,4,1,"Adjective"
"215","date",4,3.86,17,25,3,1,"Noun"
"216","daughter",8,3.94,1,5,4,2,"Noun"
"217","day",3,4.61,16,25,2,1,"Noun"
"218","days",4,4.19,8,28,3,1,"Noun"
"219","deal",4,4.12,16,27,3,1,"Noun"
"220","dean",4,3.3,9,26,3,1,"Name"
"221","death",5,4.04,1,9,3,1,"Noun"
"222","deep",4,3.59,9,19,3,1,"Adjective"
"223","demon",5,3.2,1,5,5,2,"Noun"
"224","deserve",7,3.35,1,2,5,2,"Verb"
"225","desire",6,3.01,0,1,5,2,"Noun"
"226","devil",5,3.32,0,3,4,2,"Noun"
"227","dig",3,3.37,14,19,3,1,"Verb"
"228","dinner",6,4.01,2,12,4,2,"Noun"
"229","dirty",5,3.53,1,9,4,2,"Adjective"
"230","do",2,5.5,7,30,2,1,"Verb"
"231","doc",3,3.62,5,21,3,1,"Noun"
"232","doctor",6,4.13,0,0,5,2,"Noun"
"233","dog",3,3.99,13,9,3,1,"Noun"
"234","dogs",4,3.43,8,6,4,1,"Noun"
"235","doll",4,3.1,11,13,3,1,"Noun"
"236","dollar",6,3.15,1,8,4,2,"Noun"
"237","dollars",7,3.6,1,5,5,2,"Noun"
"238","doors",5,3.24,4,20,4,1,"Noun"
"239","dozen",5,3.09,1,1,4,2,"Noun"
"240","drag",4,3.13,7,6,4,1,"Verb"
"241","drama",5,3.01,0,0,5,2,"Noun"
"242","draw",4,3.31,5,2,3,1,"Verb"
"243","dream",5,3.83,2,3,4,1,"Noun"
"244","dreams",6,3.52,3,5,5,1,"Noun"
"245","drew",4,3.11,4,10,3,1,"Name"
"246","drink",5,4.1,3,4,5,1,"Noun"
"247","drive",5,3.89,1,7,4,1,"Verb"
"248","driver",6,3.38,3,1,5,2,"Noun"
"249","drove",5,3.17,5,4,4,1,"Verb"
"250","drug",4,3.36,3,4,4,1,"Noun"
"251","drugs",5,3.39,2,4,5,1,"Noun"
"252","duck",4,3.1,11,25,3,1,"Noun"
"253","dude",4,3.71,7,29,3,1,"Noun"
"254","due",3,3.36,12,30,2,1,"Adjective"
"255","duke",4,3.11,7,17,3,1,"Noun"
"256","dumb",4,3.38,2,31,3,1,"Adjective"
"257","dump",4,3.17,8,10,4,1,"Verb"
"258","dust",4,3.09,10,11,4,1,"Noun"
"259","duty",4,3.42,1,11,4,2,"Noun"
"260","each",4,4.11,2,7,2,1,"Pronoun"
"261","early",5,3.74,0,8,3,2,"Adverb"
"262","ears",4,3.23,10,11,3,1,"Noun"
"263","earth",5,3.71,0,7,2,1,"Noun"
"264","easier",6,3.3,1,0,4,2,"Adjective"
"265","east",4,3.4,10,3,3,1,"Noun"
"266","easy",4,4.13,2,3,3,2,"Adjective"
"267","eating",6,3.49,5,5,4,2,"Verb"
"268","edge",4,3.08,1,9,2,1,"Noun"
"269","effect",6,3.09,1,4,5,2,"Noun"
"270","eggs",4,3.29,0,5,3,1,"Noun"
"271","either",6,3.97,3,3,3,2,"Adverb"
"272","empty",5,3.38,0,0,5,2,"Adjective"
"273","end",3,4.13,1,8,3,1,"Noun"
"274","engine",6,3.21,0,0,5,2,"Noun"
"275","enjoy",5,3.63,1,1,4,2,"Verb"
"276","enough",6,4.41,0,1,4,2,"Adverb"
"277","enter",5,3.18,1,2,4,2,"Verb"
"278","entire",6,3.61,1,1,5,2,"Adjective"
"279","eve",3,3.16,3,6,2,1,"Name"
"280","evening",7,3.79,0,0,5,2,"Noun"
"281","event",5,3.13,0,0,5,2,"Noun"
"282","eyes",4,4.05,2,17,2,1,"Noun"
"283","face",4,4.17,11,20,3,1,"Noun"
"284","fact",4,3.94,5,11,4,1,"Noun"
"285","failed",6,3.17,8,20,4,1,"Verb"
"286","failure",7,3.01,0,0,5,2,"Noun"
"287","falling",7,3.26,4,12,5,2,"Verb"
"288","falls",5,3.11,7,22,4,1,"Verb"
"289","famous",6,3.36,0,0,5,2,"Adjective"
"290","fancy",5,3.25,2,2,5,2,"Adjective"
"291","far",3,4.05,16,17,3,1,"Adverb"
"292","farm",4,3.19,6,5,4,1,"Noun"
"293","fast",4,3.85,11,19,4,1,"Adverb"
"294","fate",4,3.14,17,31,3,1,"Noun"
"295","fault",5,3.73,2,9,4,1,"Noun"
"296","favor",5,3.56,1,8,4,2,"Noun"
"297","fear",4,3.55,12,40,3,1,"Noun"
"298","feed",4,3.34,14,26,3,1,"Verb"
"299","feel",4,4.5,9,35,3,1,"Verb"
"300","feeling",7,3.93,4,15,5,2,"Verb"
"301","feet",4,3.79,8,22,3,1,"Noun"
"302","fellas",6,3.3,0,2,5,2,"Noun"
"303","fellow",6,3.48,5,12,4,2,"Noun"
"304","fever",5,3.01,4,8,4,2,"Noun"
"305","few",3,4.19,10,12,3,1,"Determiner"
"306","field",5,3.55,3,20,4,1,"Noun"
"307","file",4,3.35,14,29,3,1,"Noun"
"308","files",5,3.13,10,18,4,1,"Noun"
"309","film",4,3.52,3,6,4,1,"Noun"
"310","final",5,3.4,0,7,4,2,"Adjective"
"311","find",4,4.63,13,24,4,1,"Verb"
"312","finds",5,3.17,8,8,5,1,"Verb"
"313","fine",4,4.48,16,27,3,1,"Adjective"
"314","finger",6,3.27,6,1,5,2,"Noun"
"315","finish",6,3.7,0,2,5,2,"Verb"
"316","fire",4,4.04,13,21,3,1,"Noun"
"317","fired",5,3.5,9,11,4,1,"Verb"
"318","firm",4,3.26,4,12,3,1,"Noun"
"319","first",5,4.63,0,11,4,1,"Number"
"320","fish",4,3.63,4,12,3,1,"Noun"
"321","fishing",7,3.08,1,4,5,2,"Noun"
"322","fix",3,3.65,9,15,4,1,"Verb"
"323","fixed",5,3.22,4,1,5,1,"Verb"
"324","flat",4,3.13,11,12,4,1,"Noun"
"325","flesh",5,3.05,3,8,4,1,"Noun"
"326","flight",6,3.48,5,15,4,1,"Noun"
"327","flower",6,3.07,4,4,4,1,"Noun"
"328","flowers",7,3.39,2,6,5,1,"Noun"
"329","fly",3,3.64,4,13,3,1,"Verb"
"330","flying",6,3.41,0,2,5,2,"Verb"
"331","folks",5,3.59,2,9,4,1,"Noun"
"332","food",4,3.9,9,18,3,1,"Noun"
"333","fool",4,3.66,10,24,3,1,"Noun"
"334","foot",4,3.52,11,10,3,1,"Noun"
"335","force",5,3.56,3,19,4,1,"Noun"
"336","forced",6,3.13,4,4,5,1,"Verb"
"337","foreign",7,3.06,0,4,5,2,"Adjective"
"338","form",4,3.34,10,13,4,1,"Noun"
"339","fought",6,3.13,3,22,3,1,"Verb"
"340","four",4,4.12,7,32,3,1,"Number"
"341","fourth",6,3.13,0,9,4,1,"Number"
"342","free",4,3.96,4,11,3,1,"Adjective"
"343","freeze",6,3.22,2,14,4,1,"Verb"
"344","friend",6,4.33,0,4,5,1,"Noun"
"345","from",4,5.02,2,4,4,1,"Preposition"
"346","front",5,3.97,2,2,5,1,"Preposition"
"347","fruit",5,3.04,0,6,4,1,"Noun"
"348","future",6,3.72,1,0,5,2,"Noun"
"349","game",4,4.08,13,19,3,1,"Noun"
"350","games",5,3.36,6,6,4,1,"Noun"
"351","gang",4,3.19,8,15,3,1,"Noun"
"352","garage",6,3.14,0,1,5,2,"Noun"
"353","garden",6,3.13,2,5,5,2,"Noun"
"354","gas",3,3.54,8,16,3,1,"Noun"
"355","gate",4,3.21,16,26,3,1,"Noun"
"356","gay",3,3.48,17,20,2,1,"Adjective"
"357","get",3,5.37,14,18,3,1,"Verb"
"358","gift",4,3.52,5,8,4,1,"Noun"
"359","girl",4,4.45,2,15,3,1,"Noun"
"360","give",4,4.78,7,6,3,1,"Verb"
"361","giving",6,3.75,3,3,5,2,"Verb"
"362","glad",4,3.94,3,8,4,1,"Adjective"
"363","glass",5,3.49,3,5,4,1,"Noun"
"364","go",2,5.29,7,28,2,1,"Verb"
"365","gods",4,3.04,5,9,4,1,"Noun"
"366","goes",4,4.04,6,23,3,1,"Verb"
"367","gold",4,3.61,11,19,4,1,"Noun"
"368","golden",6,3.07,0,0,5,2,"Adjective"
"369","golf",4,3.11,4,2,4,1,"Noun"
"370","good",4,5.12,8,10,3,1,"Adjective"
"371","gotten",6,3.44,1,2,4,2,"Verb"
"372","grace",5,3.33,8,19,4,1,"Name"
"373","grade",5,3.17,8,18,4,1,"Noun"
"374","grand",5,3.51,4,9,5,1,"Adjective"
"375","grave",5,3.13,9,16,4,1,"Noun"
"376","great",5,4.62,3,19,4,1,"Adjective"
"377","green",5,3.57,4,15,4,1,"Adjective"
"378","guest",5,3.31,2,16,4,1,"Noun"
"379","guests",6,3.12,0,9,5,1,"Noun"
"380","gun",3,4.04,13,24,3,1,"Noun"
"381","guns",4,3.49,9,17,4,1,"Noun"
"382","guts",4,3.08,10,9,4,1,"Noun"
"383","guy",3,4.59,6,28,2,1,"Noun"
"384","guys",4,4.51,4,18,3,1,"Noun"
"385","had",3,4.93,17,34,3,1,"Verb"
"386","hair",4,3.89,5,32,3,1,"Noun"
"387","hand",4,4.15,9,13,4,1,"Noun"
"388","hands",5,4.08,5,5,5,1,"Noun"
"389","hanging",7,3.44,3,4,5,2,"Verb"
"390","happen",6,4.11,0,0,5,2,"Verb"
"391","hard",4,4.2,11,21,4,1,"Adjective"
"392","harm",4,3.21,6,8,4,1,"Noun"
"393","hat",3,3.52,20,33,3,1,"Noun"
"394","hate",4,4.04,16,26,3,1,"Verb"
"395","haven",5,4.28,1,5,4,2,"Noun"
"396","head",4,4.28,13,28,3,1,"Noun"
"397","headed",6,3.2,9,11,5,2,"Verb"
"398","heads",5,3.34,7,14,4,1,"Noun"
"399","health",6,3.31,2,5,4,1,"Noun"
"400","heard",5,4.3,4,20,3,1,"Verb"
"401","heart",5,4.1,2,15,4,1,"Noun"
"402","hearts",6,3.07,2,5,5,1,"Noun"
"403","heat",4,3.31,11,29,3,1,"Noun"
"404","heaven",6,3.46,3,5,4,2,"Noun"
"405","hell",4,4.38,16,35,3,1,"Noun"
"406","help",4,4.67,7,7,4,1,"Verb"
"407","helps",5,3.04,2,3,5,1,"Verb"
"408","hide",4,3.55,10,32,3,1,"Verb"
"409","high",4,4,3,33,2,1,"Adjective"
"410","highly",6,3.03,0,8,4,2,"Adverb"
"411","hill",4,3.28,14,40,3,1,"Noun"
"412","hills",5,3.01,8,25,4,1,"Noun"
"413","him",3,5.25,12,22,3,1,"Pronoun"
"414","hired",5,3.23,7,9,4,1,"Verb"
"415","hit",3,4.15,15,31,3,1,"Verb"
"416","hold",4,4.35,11,22,4,1,"Verb"
"417","hole",4,3.47,13,37,3,1,"Noun"
"418","holy",4,3.54,2,11,4,2,"Adjective"
"419","honest",6,3.57,0,0,5,2,"Adjective"
"420","honey",5,4.19,3,12,4,2,"Noun"
"421","hook",4,3.29,12,14,3,1,"Noun"
"422","hope",4,4.21,12,18,3,1,"Verb"
"423","hoping",6,3.41,2,4,5,2,"Verb"
"424","horn",4,3.03,6,18,4,1,"Noun"
"425","horse",5,3.68,6,13,4,1,"Noun"
"426","hot",3,3.99,16,23,3,1,"Adjective"
"427","hour",4,3.92,7,13,2,1,"Noun"
"428","house",5,4.42,5,11,3,1,"Noun"
"429","how",3,5.19,16,20,2,1,"Adverb"
"430","hurry",5,3.95,3,6,4,2,"Verb"
"431","hurts",5,3.28,1,9,4,1,"Verb"
"432","idea",4,4.26,0,0,4,2,"Noun"
"433","idiot",5,3.53,1,1,5,2,"Noun"
"434","ill",3,3.04,2,20,2,1,"Name"
"435","in",2,5.7,7,14,2,1,"Preposition"
"436","inside",6,4.03,1,5,5,2,"Adverb"
"437","into",4,4.63,3,3,4,2,"Preposition"
"438","invite",6,3.18,1,4,5,2,"Verb"
"439","is",2,5.66,7,15,2,1,"Verb"
"440","island",6,3.31,1,0,5,2,"Noun"
"441","jacket",6,3.23,2,2,5,2,"Noun"
"442","jail",4,3.56,11,31,3,1,"Noun"
"443","jealous",7,3.29,1,1,5,2,"Adjective"
"444","jerk",4,3.23,1,13,3,1,"Noun"
"445","job",3,4.32,14,19,3,1,"Noun"
"446","jobs",4,3.15,8,13,4,1,"Noun"
"447","join",4,3.63,3,9,3,1,"Verb"
"448","josh",4,3.02,5,11,3,1,"Name"
"449","journey",7,3.01,1,7,4,2,"Noun"
