"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"51","answers",7,3.18,0,1,5,2,"Noun"
"52","any",3,4.75,4,7,3,2,"Determiner"
"53","apart",5,3.38,0,0,5,2,"Adverb"
"54","appear",6,3.08,1,1,4,2,"Verb"
"55","appears",7,3.03,1,1,5,2,"Verb"
"56","apple",5,3.08,2,4,3,2,"Noun"
"57","approach",8,3.03,0,0,5,2,"Noun"
"58","are",3,5.42,16,14,2,1,"Verb"
"59","area",4,3.58,3,3,4,2,"Noun"
"60","argue",5,3,0,0,5,2,"Verb"
"61","arm",3,3.52,5,4,3,1,"Noun"
"62","armed",5,3.07,1,4,4,1,"Adjective"
"63","arms",4,3.48,6,3,4,1,"Noun"
"64","army",4,3.64,2,5,4,2,"Noun"
"65","around",6,4.57,2,6,5,2,"Adverb"
"66","arrest",6,3.48,0,4,5,2,"Noun"
"67","arrived",7,3.29,1,3,5,2,"Verb"
"68","art",3,3.56,8,4,3,1,"Noun"
"70","ashamed",7,3.15,0,0,5,2,"Adjective"
"71","aside",5,3.08,2,3,4,2,"Adverb"
"72","ask",3,4.39,4,1,3,1,"Verb"
"73","asked",5,4.04,1,2,4,1,"Verb"
"74","asking",6,3.82,0,0,5,2,"Verb"
"75","asleep",6,3.41,0,0,5,2,"Adjective"
"76","ass",3,4.06,4,13,2,1,"Noun"
"77","asshole",7,3.5,0,0,5,2,"Noun"
"78","assume",6,3.23,1,0,4,2,"Verb"
"79","assure",6,3.01,1,4,4,2,"Verb"
"80","at",2,5.21,8,18,2,1,"Preposition"
"81","ate",3,3.24,9,17,2,1,"Verb"
"82","attack",6,3.59,1,3,4,2,"Noun"
"83","attacked",8,3.09,2,4,5,2,"Verb"
"84","aunt",4,3.45,4,9,3,1,"Noun"
"85","avoid",5,3.09,0,2,4,2,"Verb"
"86","awake",5,3.13,2,3,4,2,"Adjective"
"87","aware",5,3.26,2,3,4,2,"Adjective"
"88","away",4,4.57,2,4,3,2,"Adverb"
"89","awesome",7,3.2,0,1,3,2,"Adjective"
"90","awful",5,3.51,0,3,3,2,"Adjective"
"91","babe",4,3.26,8,15,3,1,"Noun"
"92","babies",6,3.23,1,1,5,2,"Noun"
"93","baby",4,4.41,1,4,4,2,"Noun"
"94","back",4,5.01,17,34,3,1,"Adverb"
"95","bad",3,4.44,19,28,3,1,"Adjective"
"96","badly",5,3.13,2,2,5,2,"Adverb"
"97","bag",3,3.68,20,27,3,1,"Noun"
"98","bags",4,3.16,12,11,4,1,"Noun"
"99","ball",4,3.73,19,30,3,1,"Noun"
"100","balls",5,3.31,10,21,4,1,"Noun"
"101","band",4,3.44,14,17,4,1,"Noun"
"102","bang",4,3.01,13,19,3,1,"Verb"
"103","bank",4,3.64,16,13,4,1,"Noun"
"104","bar",3,3.64,15,26,3,1,"Noun"
"105","barely",6,3.17,1,3,5,2,"Adverb"
"106","base",4,3.26,14,21,3,1,"Noun"
"107","based",5,3.13,6,23,4,1,"Verb"
"108","bat",3,3.02,19,37,3,1,"Noun"
"109","bath",4,3.2,11,20,3,1,"Noun"
"110","battle",6,3.33,4,13,4,2,"Noun"
"111","bay",3,3.09,19,29,2,1,"Noun"
"112","be",2,5.47,5,28,2,1,"Verb"
"113","beach",5,3.46,7,21,3,1,"Noun"
"114","bear",4,3.47,19,34,3,1,"Noun"
"115","beast",5,3.1,6,15,4,1,"Noun"
"116","beat",4,3.83,20,37,3,1,"Verb"
"117","beating",7,3.06,7,19,5,2,"Verb"
"118","beauty",6,3.39,0,1,5,2,"Noun"
"119","became",6,3.39,1,1,5,2,"Verb"
"121","become",6,3.77,1,2,5,2,"Verb"
"122","bed",3,3.98,13,29,3,1,"Noun"
"123","beef",4,3,6,19,3,1,"Noun"
"124","been",4,4.95,10,30,3,1,"Verb"
"125","beer",4,3.59,12,40,3,1,"Noun"
"127","beg",3,3.42,13,19,3,1,"Verb"
"128","began",5,3.22,3,3,5,2,"Verb"
"129","begin",5,3.46,2,3,5,2,"Verb"
"130","being",5,4.39,1,6,4,2,"Verb"
"131","believe",7,4.5,1,2,5,2,"Verb"
"132","bell",4,3.3,13,29,3,1,"Noun"
"133","belong",6,3.35,0,0,5,2,"Verb"
"134","below",5,3.16,0,12,4,2,"Adverb"
"135","belt",4,3.09,12,16,4,1,"Noun"
"136","best",4,4.31,16,25,4,1,"Adjective"
"137","bet",3,3.94,17,35,3,1,"Verb"
"138","better",6,4.61,7,16,4,2,"Adverb"
"139","beyond",6,3.34,0,2,5,2,"Preposition"
"140","big",3,4.54,16,22,3,1,"Adjective"
"141","bigger",6,3.44,4,12,4,2,"Adjective"
"142","bike",4,3.12,9,22,3,1,"Noun"
