"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"311","which",5,4.39,0,7,4,1,"Determiner"
"312","assure",6,3.01,1,4,4,2,"Verb"
"313","ill",3,3.04,2,20,2,1,"Name"
"314","finish",6,3.7,0,2,5,2,"Verb"
"315","fix",3,3.65,9,15,4,1,"Verb"
"316","will",4,5.03,16,30,3,1,"Verb"
"317","signed",6,3.26,2,17,4,1,"Verb"
"318","bud",3,3.26,13,25,3,1,"Name"
"319","allowed",7,3.36,1,4,4,2,"Verb"
"320","become",6,3.77,1,2,5,2,"Verb"
"321","hit",3,4.15,15,31,3,1,"Verb"
"322","began",5,3.22,3,3,5,2,"Verb"
"323","waste",5,3.43,5,15,4,1,"Verb"
"324","dump",4,3.17,8,10,4,1,"Verb"
"325","walk",4,4.04,5,15,3,1,"Verb"
"326","green",5,3.57,4,15,4,1,"Adjective"
"327","pack",4,3.35,16,35,3,1,"Verb"
"328","send",4,3.96,10,16,4,1,"Verb"
"329","offered",7,3.13,0,1,4,2,"Verb"
"330","later",5,4.17,7,21,4,2,"Adverb"
"331","eve",3,3.16,3,6,2,1,"Name"
"332","great",5,4.62,3,19,4,1,"Adjective"
"333","won",3,4.59,11,20,3,1,"Verb"
"334","tight",5,3.41,7,34,3,1,"Adverb"
"335","nine",4,3.54,12,22,3,1,"Number"
"336","rare",4,3.04,16,31,3,1,"Adjective"
"337","quit",4,3.66,3,8,4,1,"Verb"
"338","mental",6,3,3,6,5,2,"Adjective"
"339","knocked",7,3.1,1,11,4,1,"Verb"
"340","wild",4,3.47,8,15,4,1,"Adjective"
"341","dark",4,3.66,9,8,4,1,"Adjective"
"342","dig",3,3.37,14,19,3,1,"Verb"
"343","pure",4,3.1,9,1,4,1,"Adjective"
"344","please",6,4.75,0,9,4,1,"Adverb"
"345","safe",4,3.86,8,12,3,1,"Adjective"
"346","them",4,4.96,5,6,3,1,"Pronoun"
"347","covered",7,3.21,2,4,5,2,"Verb"
"348","sat",3,3.16,20,31,3,1,"Verb"
"349","hot",3,3.99,16,23,3,1,"Adjective"
"350","march",5,3.09,3,7,4,1,"Name"
"351","these",5,4.66,3,18,3,1,"Determiner"
"352","touch",5,3.88,4,12,3,1,"Verb"
"353","swear",5,3.65,4,10,4,1,"Verb"
"354","enter",5,3.18,1,2,4,2,"Verb"
"355","want",4,5.15,12,10,4,1,"Verb"
"356","agreed",6,3.26,1,2,5,2,"Verb"
"357","manage",6,3.04,0,0,5,2,"Verb"
"358","clear",5,3.94,2,8,4,1,"Adjective"
"359","watched",7,3.13,5,4,4,1,"Verb"
"360","thou",4,3.06,2,15,2,1,"Pronoun"
"361","rid",3,3.48,13,27,3,1,"Verb"
"362","fine",4,4.48,16,27,3,1,"Adjective"
"363","boring",6,3.15,4,10,5,2,"Adjective"
"364","rob",3,3.08,15,17,3,1,"Verb"
"365","hate",4,4.04,16,26,3,1,"Verb"
"366","sound",5,3.86,7,13,4,1,"Verb"
"367","argue",5,3,0,0,5,2,"Verb"
"368","ok",2,4.41,7,4,3,2,"Adverb"
"369","within",6,3.48,0,1,5,2,"Preposition"
"370","helps",5,3.04,2,3,5,1,"Verb"
"371","lovely",6,3.69,2,1,5,2,"Adjective"
"372","rich",4,3.61,2,23,3,1,"Adjective"
"373","served",6,3,2,8,4,1,"Verb"
"374","wrote",5,3.56,1,34,3,1,"Verb"
"375","rough",5,3.28,5,19,3,1,"Adjective"
"376","cool",4,4,9,21,3,1,"Adjective"
"377","there",5,5.35,3,21,3,1,"Ex"
"378","single",6,3.57,5,5,5,2,"Adjective"
